
Processing CalculateEfficincy.C...
Particle             :    Eff 4pi  /  Eff accept /   Eff KFPF  /      Ghost  /     BackGr  /    N Ghost  /   N BackGr  /     N Reco  /    N Clone  |   N MC 4pi  | N MC accept |  N MC KFPF 
Ds-                  :      0.002  /     -1.000  /      0.133  /      0.000  /      0.000  /          0  /          0  /          2  /          0  |        833  |          0  |         15
Ds-            Prim  :      0.002  /     -1.000  /      0.133  /      0.000  /      0.000  /          0  /          0  /          2  /          0  |        833  |          0  |         15
Ds-            Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Lambdac              :      0.000  /     -1.000  /      0.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |        838  |          0  |          9
Lambdac        Prim  :      0.000  /     -1.000  /      0.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |        838  |          0  |          9
Lambdac        Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Lambdac b            :      0.000  /     -1.000  /      0.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |        830  |          0  |          7
Lambdac b      Prim  :      0.000  /     -1.000  /      0.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |        830  |          0  |          7
Lambdac b      Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*0                  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*0            Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*0            Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*0 b                :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*0 b          Prim  :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
D*0 b          Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
